,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude
516,Windham Hills,https://www.mhvillage.com/parks/15980, Jackson ,420,N/A,493,"4020 County Farm Road, Jackson, MI, 49201",42.2594,-84.37935
517,Hillanlake Village Mobile Home Park,https://www.mhvillage.com/parks/15377, Jackson ,151,N/A,495,"3998 Sunset Drive, Brooklyn, MI, 49230",42.09382,-84.22136
519,Coachman's Cove,https://www.mhvillage.com/parks/399, Jackson ,246,385,496,"6600 Portage Lake Road, Munith, MI, 49259",42.37239,-84.24817
520,Cozy Manufactured Home Community,https://www.mhvillage.com/parks/397, Jackson ,206,N/A,494,"1259 East Mcdevitt Road, Jackson, MI, 49203",42.19499,-84.38051
521,Spring Valley Estates,https://www.mhvillage.com/parks/394, Jackson ,94,370,499,"121 Split Rail Trail, Hanover, MI, 49241",42.09807,-84.54466
522,Three Oaks Estates,https://www.mhvillage.com/parks/15540, Jackson ,44,N/A,500,"13380 Michigan 60, Concord, MI, 49237",42.1768,-84.64385
523,Spring Harbor,https://www.mhvillage.com/parks/5736, Jackson ,81,N/A,501,"271 Green St., Springport, MI, 49284",42.37553,-84.68605
524,Sun Valley Estates,https://www.mhvillage.com/parks/344, Jackson ,184,N/A,502,"301 Mantle Avenue, Jackson, MI, 49202",42.25854,-84.37015
525,The Reserves,https://www.mhvillage.com/parks/439, Jackson ,304,418,503,"3999 Sherwood Lakes Boulevard, Jackson, MI, 49201",42.29109,-84.44512
526,Arbor Village,https://www.mhvillage.com/parks/15376, Jackson ,266,360,504,"7940 South Circle Drive, Parma, MI, 49269",42.29845,-84.59764
527,Indian Village,https://www.mhvillage.com/parks/15351, Jackson ,294,N/A,505,"2600 East South Street, Jackson, MI, 49201",42.2594,-84.37935
528,Jackson Mobile Home Park,https://www.mhvillage.com/parks/15538, Jackson ,80,460,497,"2240 Brooklyn Road, Jackson, MI, 49203",42.21266,-84.39559
529,Michigan Avenue Estates,https://www.mhvillage.com/parks/15438, Jackson ,39,N/A,506,"3921 West Michigan Avenue, Jackson, MI, 49202",42.27538,-84.40753
530,Pleasant Lake Mobile Home Court,https://www.mhvillage.com/parks/15535, Jackson ,57,N/A,507,"11711 Bunkerhill Road, Pleasant Lake, MI, 49272",42.38781,-84.34844
531,Shady Park Mobile Home Court,https://www.mhvillage.com/parks/15534, Jackson ,23,N/A,508,"4000 East South Street, Jackson, MI, 49201",42.2594,-84.37935
532,Walnut Ridge,https://www.mhvillage.com/parks/15962, Jackson ,299,N/A,509,"3001 West Parnall Road, Jackson, MI, 49201",42.2594,-84.37935
533,Sherwood Forest,https://www.mhvillage.com/parks/40284, Jackson ,200,N/A,510,"7945 Dunn Road, Munith, MI, 49259",42.37239,-84.24817
534,Miller Trailer Village,https://www.mhvillage.com/parks/15536, Jackson ,55,N/A,511,"3500 South Dearing Road, Spring Arbor, MI, 49283",42.20021,-84.56956
535,Vinings Trailer Park,https://www.mhvillage.com/parks/32872, Jackson ,199,N/A,512,"105 Portage Lake Road, Munith, MI, 49259",42.37239,-84.24817
536,Andry's On The Lake,https://www.mhvillage.com/parks/16052, Jackson ,160,N/A,513,"7740 Mount Hope Road, Grass Lake, MI, 49240",42.28988,-84.19142
546,Wyngate Farms,https://www.mhvillage.com/parks/15870, Kalamazoo ,333,400,514,"5560 Al Sabo Drive, Kalamazoo, MI, 49009",42.30008,-85.67871
547,Colonial Manor,https://www.mhvillage.com/parks/15541, Kalamazoo ,195,N/A,523,"5500 West Kl Avenue, Kalamazoo, MI, 49009",42.28097,-85.65886
